iter	Passed	Remaining
807	5144	1222
808	5149	1215
809	5156	1209
810	5162	1203
811	5166	1196
812	5174	1190
813	5179	1183
814	5183	1176
815	5191	1170
816	5197	1164
817	5204	1158
818	5210	1151
819	5216	1144
820	5225	1139
821	5231	1132
822	5238	1126
823	5244	1120
824	5249	1113
825	5257	1107
826	5262	1100
827	5269	1094
828	5276	1088
829	5284	1082
830	5290	1075
831	5296	1069
832	5302	1063
833	5307	1056
834	5315	1050
835	5320	1043
836	5325	1037
837	5332	1030
838	5337	1024
839	5342	1017
840	5349	1011
841	5354	1004
842	5368	999
843	5372	993
844	5381	987
845	5387	980
846	5394	974
847	5399	967
848	5405	961
849	5413	955
850	5417	948
851	5425	942
852	5430	935
853	5435	929
854	5443	923
855	5449	916
856	5456	910
857	5462	903
858	5466	897
859	5474	891
860	5479	884
861	5485	878
862	5492	871
863	5496	865
864	5504	859
865	5510	852
866	5514	846
867	5522	839
868	5527	833
869	5534	826
870	5540	820
871	5544	813
872	5552	807
873	5558	801
874	5564	794
875	5571	788
876	5580	782
877	5589	776
878	5598	770
879	5604	764
880	5611	757
881	5619	751
882	5624	745
883	5631	738
884	5637	732
885	5645	726
886	5652	720
887	5657	713
888	5666	707
889	5672	701
890	5680	694
891	5686	688
892	5694	682
893	5700	675
894	5704	669
895	5714	663
896	5719	656
897	5726	650
898	5733	644
899	5740	637
900	5746	631
901	5752	624
902	5759	618
903	5766	612
904	5775	606
905	5780	599
906	5789	593
907	5795	587
908	5800	580
909	5809	574
910	5815	568
911	5822	561
912	5827	555
913	5834	548
914	5841	542
915	5845	536
916	5853	529
917	5859	523
918	5868	517
919	5874	510
920	5878	504
921	5888	498
922	5893	491
923	5901	485
924	5908	479
925	5916	472
926	5922	466
927	5932	460
928	5937	453
929	5942	447
930	5950	441
931	5955	434
932	5964	428
933	5971	421
934	5976	415
935	5985	409
936	5992	402
937	6000	396
938	6009	390
939	6016	384
940	6020	377
941	6028	371
942	6033	364
943	6039	358
944	6045	351
945	6051	345
946	6060	339
947	6065	332
948	6071	326
949	6077	319
950	6083	313
951	6089	307
952	6096	300
953	6104	294
954	6109	287
955	6115	281
956	6123	275
957	6128	268
958	6134	262
959	6141	255
960	6146	249
961	6154	243
962	6161	236
963	6170	230
964	6176	224
965	6184	217
966	6192	211
967	6201	205
968	6208	198
969	6214	192
970	6221	185
971	6225	179
972	6232	172
973	6238	166
974	6242	160
975	6251	153
976	6257	147
977	6266	140
978	6274	134
979	6283	128
980	6289	121
981	6298	115
982	6305	109
983	6313	102
984	6319	96
985	6326	89
986	6333	83
987	6337	76
988	6346	70
989	6352	64
990	6359	57
991	6367	51
992	6373	44
993	6381	38
994	6389	32
995	6396	25
996	6402	19
997	6410	12
998	6415	6
999	6420	0
